Job number,Occupancyissueddate,BIN,Borough,Housenumber,Streetname,Block,Lot,Noofdwellingunits,Buildingoccupancygroupclassification,CofilingtypeLabel,CofO Status
110030190-01,3/10/22 16:07,1088542,Manhattan,420,PARK AVENUE SOUTH,858,45,253,J-1 - RESIDENTIAL (HOTELS),Renewal Without Change,CO Issued
110030190-01,6/15/22 11:58,1088542,Manhattan,420,PARK AVENUE SOUTH,858,45,253,J-1 - RESIDENTIAL (HOTELS),Renewal Without Change,CO Issued
110041062-01,1/27/22 14:57,1024896,Manhattan,200,WEST   57 STREET,1028,33,,COM - COMMERCIAL BUILDINGS - OLD CODE,Renewal Without Change,CO Issued
110041062-01,4/20/22 14:37,1024896,Manhattan,200,WEST   57 STREET,1028,33,,COM - COMMERCIAL BUILDINGS - OLD CODE,Renewal Without Change,CO Issued
110049313-01,3/4/22 14:54,1088475,Manhattan,2070,ADAM CLAYTON POWELL BOULEVARD,1929,29,160,R-2 - RESIDENTIAL: APARTMENT HOUSES,Renewal Without Change,CO Issued
110049313-01,6/6/22 10:54,1088475,Manhattan,2070,ADAM CLAYTON POWELL BOULEVARD,1929,29,160,R-2 - RESIDENTIAL: APARTMENT HOUSES,Renewal Without Change,CO Issued
110058384-01,2/16/22 11:11,1088591,Manhattan,1355,FIRST AVENUE,1447,7502,27,J2: RESIDENTIAL,Final,CO Issued
110062128-01,3/28/22 10:48,1089455,Manhattan,32,WEST   29 STREET,830,67,122,J-1 - RESIDENTIAL (HOTELS),Renewal Without Change,CO Issued
110062128-01,6/24/22 10:19,1089455,Manhattan,32,WEST   29 STREET,830,67,122,J-1 - RESIDENTIAL (HOTELS),Renewal Without Change,CO Issued
110075971-01,6/15/22 15:12,1088533,Manhattan,885,6 AVENUE,807,7502,336,J2: RESIDENTIAL,Renewal With Change,CO Issued
110085283-01,1/3/22 14:13,1057192,Manhattan,315,WEST  103 STREET,1890,48,6,RES - RESID. BLDG - OLD CODE,Renewal Without Change,CO Issued
110085283-01,3/17/22 10:59,1057192,Manhattan,315,WEST  103 STREET,1890,48,6,RES - RESID. BLDG - OLD CODE,Renewal Without Change,CO Issued
110085283-01,5/23/22 11:15,1057192,Manhattan,315,WEST  103 STREET,1890,48,6,RES - RESID. BLDG - OLD CODE,Final,CO Issued
110096271-01,4/25/22 13:04,1015190,Manhattan,1275,BROADWAY,808,40,,C - MERCANTILE,Renewal Without Change,CO Issued
110096752-01,2/1/22 14:46,1007047,Manhattan,451,BROOME STREET,474,29,24,J2: RESIDENTIAL,Final,CO Issued
110098304-01,3/24/22 8:49,1075380,Manhattan,982,AMSTERDAM AVENUE,1880,7501,,F-4 - ASSEMBLY (RESTAURANTS),Renewal Without Change,CO Issued
110098723-01,3/16/22 13:52,1043066,Manhattan,791,PARK AVENUE,1408,71,29,RES - RESID. BLDG - OLD CODE,Renewal Without Change,CO Issued
110098723-01,6/7/22 9:17,1043066,Manhattan,791,PARK AVENUE,1408,71,29,RES - RESID. BLDG - OLD CODE,Renewal Without Change,CO Issued
110111156-01,6/9/22 16:52,1009754,Manhattan,175,VARICK STREET,580,65,,E - BUSINESS,Renewal With Change,CO Issued
110114885-01,1/3/22 14:11,1014255,Manhattan,229,WEST 28TH STREET,778,20,0,E - EDUCATIONAL,Renewal Without Change,CO Issued
110114885-01,3/29/22 11:51,1014255,Manhattan,229,WEST 28TH STREET,778,20,0,E - EDUCATIONAL,Renewal Without Change,CO Issued
110114885-01,6/22/22 17:23,1014255,Manhattan,229,WEST 28TH STREET,778,20,0,E - EDUCATIONAL,Renewal Without Change,CO Issued
110115964-01,1/31/22 12:43,1022557,Manhattan,24-50,FDR DRIVE,991,59,0,G - EDUCATION,Renewal Without Change,CO Issued
110126113-01,3/4/22 14:15,1089956,Manhattan,19,PARK PLACE,124,8,24,J2: RESIDENTIAL,Renewal Without Change,CO Issued
110131606-01,2/11/22 10:31,1045277,Manhattan,1113,YORK AVENUE,1455,21,209,J2: RESIDENTIAL,Renewal Without Change,CO Issued
110131606-01,4/27/22 14:49,1045277,Manhattan,1113,YORK AVENUE,1455,21,209,J2: RESIDENTIAL,Renewal Without Change,CO Issued
110131713-01,2/17/22 15:55,1041814,Manhattan,955,5 AVENUE,1391,72,32,RES - RESID. BLDG - OLD CODE,Renewal With Change,CO Issued
110131713-01,6/3/22 10:49,1041814,Manhattan,955,5 AVENUE,1391,72,32,RES - RESID. BLDG - OLD CODE,Renewal Without Change,CO Issued
110146486-01,3/25/22 8:46,1090813,Manhattan,68,SPRING STREET,482,19,12,J-2 - UNKNOWN,Initial,CO Issued
110148643-01,1/7/22 15:33,1082868,Manhattan,11,STUYVESANT OVAL,972,1,315,J2: RESIDENTIAL,Renewal Without Change,CO Issued
110148643-01,3/30/22 17:17,1082868,Manhattan,11,STUYVESANT OVAL,972,1,315,J2: RESIDENTIAL,Renewal Without Change,CO Issued
110148643-01,6/22/22 14:38,1082868,Manhattan,11,STUYVESANT OVAL,972,1,315,J2: RESIDENTIAL,Renewal Without Change,CO Issued
110148652-01,1/19/22 14:38,1082857,Manhattan,12,STUYVESANT OVAL,972,1,315,J2: RESIDENTIAL,Renewal Without Change,CO Issued
110148652-01,6/6/22 16:27,1082857,Manhattan,12,STUYVESANT OVAL,972,1,315,J2: RESIDENTIAL,Renewal Without Change,CO Issued
110168336-01,2/23/22 12:27,1009723,Manhattan,250,HUDSON STREET,578,47,,E - BUSINESS,Renewal Without Change,CO Issued
110168336-01,5/17/22 13:58,1009723,Manhattan,250,HUDSON STREET,578,47,,E - BUSINESS,Renewal Without Change,CO Issued
110168577-01,4/11/22 15:47,1034199,Manhattan,500,5TH AVENUE,1258,34,,COM - COMMERCIAL BUILDINGS - OLD CODE,Renewal With Change,CO Issued
110175970-01,2/18/22 12:09,1035738,Manhattan,681,5 AVENUE,1289,72,0,COM - COMMERCIAL BUILDINGS - OLD CODE,Renewal Without Change,CO Issued
110175970-01,5/16/22 11:40,1035738,Manhattan,681,5 AVENUE,1289,72,0,COM - COMMERCIAL BUILDINGS - OLD CODE,Renewal Without Change,CO Issued
110190187-01,5/5/22 8:54,1079308,Manhattan,750,COLUMBUS AVENUE,1851,7501,207,RES - RESID. BLDG - OLD CODE,Renewal Without Change,CO Issued
110201521-01,3/24/22 9:01,1011694,Manhattan,344,WEST   14 STREET,629,13,25,RES - RESID. BLDG - OLD CODE,Renewal Without Change,CO Issued
110205377-01,3/3/22 13:37,1003780,Manhattan,20,ELDRIDGE ST,293,7,0,"F-1B - ASSEMBLY (CHURCHES, CONCERT HALLS",Final,CO Issued
110210726-01,1/7/22 12:08,1090216,Manhattan,412,WEST 15 STREET,712,42,0,B - BUSINESS,Renewal Without Change,CO Issued
110210726-01,4/6/22 11:31,1090216,Manhattan,412,WEST 15 STREET,712,42,0,B - BUSINESS,Renewal Without Change,CO Issued
110217186-01,2/15/22 13:58,1009746,Manhattan,330,HUDSON STREET,580,7501,,E - EDUCATIONAL,Renewal Without Change,CO Issued
110217186-01,5/11/22 13:42,1009746,Manhattan,330,HUDSON STREET,580,7501,,E - EDUCATIONAL,Renewal Without Change,CO Issued
110223419-01,3/3/22 14:23,1027461,Manhattan,61,WEST   62 STREET,1115,7502,282,RES - RESID. BLDG - OLD CODE,Renewal Without Change,CO Issued
110223419-01,5/27/22 14:22,1027461,Manhattan,61,WEST   62 STREET,1115,7502,282,RES - RESID. BLDG - OLD CODE,Renewal Without Change,CO Issued
110298428-01,1/31/22 15:45,1090609,Manhattan,548,WEST 48TH STREET,1076,57,89,"R-1 - RESIDENTIAL: HOTELS, DORMITORIES",Renewal Without Change,CO Issued
110319138-01,6/15/22 15:28,1007712,Manhattan,130,PRINCE STREET,501,15,0,B - BUSINESS,Renewal With Change,CO Issued
110321376-01,1/6/22 14:08,1077881,Manhattan,19,WASHINGTON SQUARE NORTH,551,7,0,B - BUSINESS,Renewal Without Change,CO Issued
110321376-01,3/31/22 15:56,1077881,Manhattan,19,WASHINGTON SQUARE NORTH,551,7,0,B - BUSINESS,Renewal Without Change,CO Issued
110321376-01,6/6/22 12:23,1077881,Manhattan,19,WASHINGTON SQUARE NORTH,551,7,0,B - BUSINESS,Renewal Without Change,CO Issued
110346162-01,2/10/22 13:38,1015913,Manhattan,54,WEST 36 STREET,837,74,185,"R-1 - RESIDENTIAL: HOTELS, DORMITORIES",Renewal Without Change,CO Issued
110346162-01,5/5/22 15:43,1015913,Manhattan,54,WEST 36 STREET,837,74,185,"R-1 - RESIDENTIAL: HOTELS, DORMITORIES",Renewal Without Change,CO Issued
110347688-01,1/4/22 14:37,1024899,Manhattan,250,WEST   57 STREET,1028,56,0,B - BUSINESS,Renewal With Change,CO Issued
110347688-01,2/14/22 10:34,1024899,Manhattan,250,WEST   57 STREET,1028,56,0,B - BUSINESS,Renewal With Change,CO Issued
110350851-01,6/6/22 10:56,1047014,Manhattan,15,EAST 91ST STREET,1503,14,43,R-2 - RESIDENTIAL: APARTMENT HOUSES,Initial,CO Issued
110360038-01,2/11/22 10:13,1021925,Manhattan,333,EAST 38TH STREET,944,7502,1,B - BUSINESS,Final,CO Issued
110360341-01,3/7/22 9:18,1002856,Manhattan,443,GREENWICH STREET,222,7503,53,R-2 - RESIDENTIAL: APARTMENT HOUSES,Renewal Without Change,CO Issued
110360341-01,6/3/22 10:08,1002856,Manhattan,443,GREENWICH STREET,222,7503,53,R-2 - RESIDENTIAL: APARTMENT HOUSES,Renewal Without Change,CO Issued
110369949-01,4/11/22 11:54,1032027,Manhattan,117,WEST 81ST STREET,1212,27,1,R-3 - RESIDENTIAL: 1 & 2 FAMILY HOUSES,Final,CO Issued
110379518-01,1/24/22 11:27,1090197,Manhattan,538,WEST 48TH STREET,1076,51,177,"R-1 - RESIDENTIAL: HOTELS, DORMITORIES",Renewal Without Change,CO Issued
110399827-01,1/24/22 12:45,1082032,Manhattan,72,WARREN STREET,137,3,0,B - BUSINESS,Renewal Without Change,CO Issued
110399827-01,5/3/22 14:03,1082032,Manhattan,72,WARREN STREET,137,3,0,B - BUSINESS,Renewal Without Change,CO Issued
110408513-01,5/27/22 11:16,1010667,Manhattan,117,SEVENTH AVENUE SOUTH,610,16,9,A-3 - ASSEMBLY: OTHER,Renewal With Change,CO Issued
110411821-01,6/29/22 16:06,1007203,Manhattan,98,KENMARE STREET,481,32,,A-2 - ASSEMBLY: EATING & DRINKING,Initial,CO Issued
110416933-01,4/25/22 12:40,1031999,Manhattan,180,WEST 81 STREET,1211,63,12,R-2 - RESIDENTIAL: APARTMENT HOUSES,Renewal Without Change,CO Issued
110418931-01,2/23/22 13:38,1009216,Manhattan,40,EAST   14 STREET,565,11,0,M - MERCANTILE,Renewal Without Change,CO Issued
110418931-01,6/16/22 16:18,1009216,Manhattan,40,EAST   14 STREET,565,11,0,M - MERCANTILE,Renewal Without Change,CO Issued
110419574-01,1/25/22 16:11,1041366,Manhattan,40,EAST 72ND STREET,1386,7503,6,R-2 - RESIDENTIAL: APARTMENT HOUSES,Renewal Without Change,CO Issued
110419574-01,5/24/22 15:57,1041366,Manhattan,40,EAST 72ND STREET,1386,7503,6,R-2 - RESIDENTIAL: APARTMENT HOUSES,Renewal Without Change,CO Issued
110427949-01,5/10/22 16:03,1015097,Manhattan,333,7TH AVENUE,804,1,,B - BUSINESS,Renewal Without Change,CO Issued
110444396-01,3/11/22 16:25,1005207,Manhattan,516,EAST 13TH STREET,406,14,10,R-2 - RESIDENTIAL: APARTMENT HOUSES,Renewal Without Change,CO Issued
110444396-01,6/6/22 10:56,1005207,Manhattan,516,EAST 13TH STREET,406,14,10,R-2 - RESIDENTIAL: APARTMENT HOUSES,Renewal Without Change,CO Issued
110444449-01,3/28/22 10:46,1005208,Manhattan,518,EAST 13TH STREET,406,15,10,R-2 - RESIDENTIAL: APARTMENT HOUSES,Renewal With Change,CO Issued
110444449-01,6/22/22 10:56,1005208,Manhattan,518,EAST 13TH STREET,406,15,10,R-2 - RESIDENTIAL: APARTMENT HOUSES,Renewal Without Change,CO Issued
110453009-01,3/4/22 13:24,1026926,Manhattan,599,TENTH AVENUE,1072,32,,A-2 - ASSEMBLY: EATING & DRINKING,Renewal Without Change,CO Issued
110453009-01,6/7/22 14:52,1026926,Manhattan,599,TENTH AVENUE,1072,32,,A-2 - ASSEMBLY: EATING & DRINKING,Renewal Without Change,CO Issued
110459361-01,5/10/22 15:29,1039612,Manhattan,891 1/2,FIRST AVENUE,1343,24,44,A-2 - ASSEMBLY: EATING & DRINKING,Renewal With Change,CO Issued
110463418-01,3/15/22 14:01,1088565,Manhattan,157,WEST 57TH STREET,1010,7506,352,R-2 - RESIDENTIAL: APARTMENT HOUSES,Renewal Without Change,CO Issued
110463418-01,6/10/22 12:23,1088565,Manhattan,157,WEST 57TH STREET,1010,7506,352,R-2 - RESIDENTIAL: APARTMENT HOUSES,Renewal Without Change,CO Issued
110463962-01,3/2/22 14:42,1038530,Manhattan,987,SECOND AVENUE,1326,22,,A-2 - ASSEMBLY: EATING & DRINKING,Renewal With Change,CO Issued
110463962-01,3/23/22 11:17,1038530,Manhattan,987,SECOND AVENUE,1326,22,,A-2 - ASSEMBLY: EATING & DRINKING,Final,CO Issued
110465871-01,1/5/22 9:48,1001584,Manhattan,95,WEST BROADWAY,145,12,148,"R-1 - RESIDENTIAL: HOTELS, DORMITORIES",Renewal With Change,CO Issued
110465871-01,4/4/22 10:18,1001584,Manhattan,95,WEST BROADWAY,145,12,148,"R-1 - RESIDENTIAL: HOTELS, DORMITORIES",Renewal Without Change,CO Issued
110465871-01,6/30/22 10:36,1001584,Manhattan,95,WEST BROADWAY,145,12,148,"R-1 - RESIDENTIAL: HOTELS, DORMITORIES",Renewal Without Change,CO Issued
110480569-01,2/28/22 11:32,1087292,Manhattan,425,MAIN ST,1373,7502,216,R-2 - RESIDENTIAL: APARTMENT HOUSES,Renewal Without Change,CO Issued
110480569-01,5/24/22 10:20,1087292,Manhattan,425,MAIN ST,1373,7502,216,R-2 - RESIDENTIAL: APARTMENT HOUSES,Renewal Without Change,CO Issued
110485216-01,1/13/22 17:13,1036509,Manhattan,123,EAST   55 STREET,1310,10,0,E - EDUCATIONAL,Renewal Without Change,CO Issued
110485216-01,4/13/22 17:40,1036509,Manhattan,123,EAST   55 STREET,1310,10,0,E - EDUCATIONAL,Renewal Without Change,CO Issued
110485216-01,6/30/22 11:15,1036509,Manhattan,123,EAST   55 STREET,1310,10,0,E - EDUCATIONAL,Renewal Without Change,CO Issued
120000685-01,3/24/22 10:26,1015512,Manhattan,54,WEST 21 STREET,822,70,,B - BUSINESS,Renewal Without Change,CO Issued
120000685-01,6/8/22 13:11,1015512,Manhattan,54,WEST 21 STREET,822,70,,B - BUSINESS,Renewal Without Change,CO Issued
120001620-01,5/24/22 11:01,1076215,Manhattan,500,WEST 43 STREET,1071,7501,310,S-2 - STORAGE: LOW HAZARD,Renewal Without Change,CO Issued
120006420-01,2/28/22 16:54,1050007,Manhattan,336,EAST   86 STREET,1548,36,66,R-2 - RESIDENTIAL: APARTMENT HOUSES,Renewal Without Change,CO Issued
120006420-01,6/8/22 16:41,1050007,Manhattan,336,EAST   86 STREET,1548,36,66,R-2 - RESIDENTIAL: APARTMENT HOUSES,Renewal Without Change,CO Issued
120015401-01,2/4/22 13:12,1033611,Manhattan,251,WEST 92ND STREET,1240,10,86,R-2 - RESIDENTIAL: APARTMENT HOUSES,Renewal Without Change,CO Issued
120015401-01,6/7/22 14:58,1033611,Manhattan,251,WEST 92ND STREET,1240,10,86,R-2 - RESIDENTIAL: APARTMENT HOUSES,Renewal Without Change,CO Issued
120024222-01,2/3/22 13:30,1080128,Manhattan,52,EAST 13TH STREET,564,11,21,R-2 - RESIDENTIAL: APARTMENT HOUSES,Renewal Without Change,CO Issued
120024222-01,4/26/22 13:42,1080128,Manhattan,52,EAST 13TH STREET,564,11,21,R-2 - RESIDENTIAL: APARTMENT HOUSES,Renewal Without Change,CO Issued
120027639-01,3/29/22 10:15,1007190,Manhattan,372,BROOME STREET,480,7502,9,R-2 - RESIDENTIAL: APARTMENT HOUSES,Renewal Without Change,CO Issued
120027639-01,6/16/22 12:11,1007190,Manhattan,372,BROOME STREET,480,7502,9,R-2 - RESIDENTIAL: APARTMENT HOUSES,Renewal Without Change,CO Issued
120035087-01,1/18/22 11:03,1040891,Manhattan,690,MADISON AVENUE,1377,15,,B - BUSINESS,Renewal Without Change,CO Issued
120041409-01,2/3/22 15:03,1080727,Manhattan,3,WEST 36TH STREET,838,38,72,R-2 - RESIDENTIAL: APARTMENT HOUSES,Renewal Without Change,CO Issued
120041409-01,5/2/22 13:52,1080727,Manhattan,3,WEST 36TH STREET,838,38,72,R-2 - RESIDENTIAL: APARTMENT HOUSES,Renewal Without Change,CO Issued
120050283-01,4/6/22 11:02,1077431,Manhattan,84,THOMAS STREET,144,23,5,R-2 - RESIDENTIAL: APARTMENT HOUSES,Final,CO Issued
120064312-01,1/12/22 16:32,1024849,Manhattan,1717,BROADWAY,1026,7501,639,"R-1 - RESIDENTIAL: HOTELS, DORMITORIES",Renewal Without Change,CO Issued
120064312-01,4/18/22 12:04,1024849,Manhattan,1717,BROADWAY,1026,7501,639,"R-1 - RESIDENTIAL: HOTELS, DORMITORIES",Renewal With Change,CO Issued
120071732-01,3/10/22 9:17,1079138,Manhattan,40,DOVER STREET,107,26,6,R-2 - RESIDENTIAL: APARTMENT HOUSES,Renewal Without Change,CO Issued
120071732-01,5/12/22 14:34,1079138,Manhattan,40,DOVER STREET,107,26,6,R-2 - RESIDENTIAL: APARTMENT HOUSES,Renewal Without Change,CO Issued
120072946-01,4/18/22 12:09,1015551,Manhattan,54,WEST   22 STREET,823,72,2,B - BUSINESS,Renewal Without Change,CO Issued
120073749-01,4/21/22 15:16,1085591,Manhattan,122,WEST 97TH STREET,1851,8,315,R-2 - RESIDENTIAL: APARTMENT HOUSES,Renewal Without Change,CO Issued
120085433-01,4/12/22 15:07,1032526,Manhattan,100,WEST 93RD STREET,1223,7503,280,R-2 - RESIDENTIAL: APARTMENT HOUSES,Renewal With Change,CO Issued
120087869-01,1/5/22 14:15,1028832,Manhattan,150,WEST 65TH STREET,1134,25,0,"A-1 - ASSEMBLY: THEATERS, CONCERT HALLS",Renewal Without Change,CO Issued
120087869-01,3/28/22 17:10,1028832,Manhattan,150,WEST 65TH STREET,1134,25,0,"A-1 - ASSEMBLY: THEATERS, CONCERT HALLS",Renewal Without Change,CO Issued
120102003-01,2/28/22 11:48,1015034,Manhattan,151,W26 ST,802,8,,B - BUSINESS,Renewal Without Change,CO Issued
120102003-01,5/31/22 12:27,1015034,Manhattan,151,W26 ST,802,8,,B - BUSINESS,Renewal Without Change,CO Issued
120102021-01,2/2/22 12:50,1040759,Manhattan,30,EAST   60 STREET,1374,45,0,B - BUSINESS,Renewal Without Change,CO Issued
120102021-01,5/2/22 9:45,1040759,Manhattan,30,EAST   60 STREET,1374,45,0,B - BUSINESS,Renewal Without Change,CO Issued
120162386-01,3/9/22 12:24,1064275,Manhattan,454,FT WASHINGTON AVENUE,2176,104,84,R-2 - RESIDENTIAL: APARTMENT HOUSES,Renewal Without Change,CO Issued
120162386-01,5/31/22 16:26,1064275,Manhattan,454,FT WASHINGTON AVENUE,2176,104,84,R-2 - RESIDENTIAL: APARTMENT HOUSES,Renewal Without Change,CO Issued
120164464-01,5/17/22 16:09,1032161,Manhattan,101,WEST 85 STREET,1216,27,41,R-2 - RESIDENTIAL: APARTMENT HOUSES,Renewal With Change,CO Issued
120166391-01,2/9/22 17:57,1015596,Manhattan,25,WEST 24TH STREET,826,24,43,"R-1 - RESIDENTIAL: HOTELS, DORMITORIES",Renewal Without Change,CO Issued
120166391-01,5/13/22 11:02,1015596,Manhattan,25,WEST 24TH STREET,826,24,43,"R-1 - RESIDENTIAL: HOTELS, DORMITORIES",Renewal Without Change,CO Issued
120213072-01,1/26/22 8:54,1028844,Manhattan,156,COLUMBUS AVENUE,1138,35,8,R-2 - RESIDENTIAL: APARTMENT HOUSES,Renewal Without Change,CO Issued
120213072-01,4/27/22 15:57,1028844,Manhattan,156,COLUMBUS AVENUE,1138,35,8,R-2 - RESIDENTIAL: APARTMENT HOUSES,Renewal Without Change,CO Issued
120224596-01,5/4/22 15:31,1000045,Manhattan,25,BROADWAY,13,27,,B - BUSINESS,Renewal Without Change,CO Issued
120228921-01,2/24/22 11:06,1014139,Manhattan,268,WEST 23RD STREET,772,81,3,R-2 - RESIDENTIAL: APARTMENT HOUSES,Renewal Without Change,CO Issued
120228921-01,5/23/22 12:33,1014139,Manhattan,268,WEST 23RD STREET,772,81,3,R-2 - RESIDENTIAL: APARTMENT HOUSES,Renewal Without Change,CO Issued
120232319-01,2/24/22 11:29,1082211,Manhattan,38,COOPER SQUARE,544,7503,,E - EDUCATIONAL,Renewal Without Change,CO Issued
120232319-01,5/24/22 10:46,1082211,Manhattan,38,COOPER SQUARE,544,7503,,E - EDUCATIONAL,Renewal Without Change,CO Issued
120236342-01,1/20/22 15:06,1014264,Manhattan,330,SEVENTH AVENUE,778,43,0,B - BUSINESS,Renewal Without Change,CO Issued
120244486-01,2/22/22 11:13,1057437,Manhattan,108,W 118 STREET,1902,39,2,R-3 - RESIDENTIAL: 1 & 2 FAMILY HOUSES,Renewal Without Change,CO Issued
120244486-01,5/17/22 11:52,1057437,Manhattan,108,W 118 STREET,1902,39,2,R-3 - RESIDENTIAL: 1 & 2 FAMILY HOUSES,Renewal Without Change,CO Issued
120244486-01,6/23/22 17:36,1057437,Manhattan,108,W 118 STREET,1902,39,2,R-3 - RESIDENTIAL: 1 & 2 FAMILY HOUSES,Final,CO Issued
120258005-01,3/3/22 9:38,1048394,Manhattan,1664,THIRD AVE,1522,34,8,R-2 - RESIDENTIAL: APARTMENT HOUSES,Renewal Without Change,CO Issued
120296125-01,6/10/22 11:55,1001649,Manhattan,291,BROADWAY,150,38,,B - BUSINESS,Renewal Without Change,CO Issued
120304223-01,3/24/22 11:34,1051496,Manhattan,1216,FIFTH AVENUE,1608,69,0,B - BUSINESS,Renewal With Change,CO Issued
120304223-01,6/16/22 15:56,1051496,Manhattan,1216,FIFTH AVENUE,1608,69,0,B - BUSINESS,Renewal Without Change,CO Issued
120311670-01,2/25/22 12:47,1088406,Manhattan,1330,FIRST AVENUE,1466,3,343,R-2 - RESIDENTIAL: APARTMENT HOUSES,Renewal Without Change,CO Issued
120311670-01,6/7/22 13:35,1088406,Manhattan,1330,FIRST AVENUE,1466,3,343,R-2 - RESIDENTIAL: APARTMENT HOUSES,Renewal With Change,CO Issued
120322695-01,1/24/22 10:56,1010183,Manhattan,100,7TH AVENUE SOUTH,591,10,6,R-2 - RESIDENTIAL: APARTMENT HOUSES,Renewal Without Change,CO Issued
120322695-01,4/18/22 15:17,1010183,Manhattan,100,7TH AVENUE SOUTH,591,10,6,R-2 - RESIDENTIAL: APARTMENT HOUSES,Renewal Without Change,CO Issued
120366282-01,1/12/22 10:36,1058139,Manhattan,2247,7TH AVE,1917,2,16,R-2 - RESIDENTIAL: APARTMENT HOUSES,Renewal With Change,CO Issued
120366282-01,4/12/22 12:17,1058139,Manhattan,2247,7TH AVE,1917,2,16,R-2 - RESIDENTIAL: APARTMENT HOUSES,Renewal Without Change,CO Issued
120375977-01,1/11/22 14:14,1081662,Manhattan,337,EAST   17 STREET,923,22,59,"R-1 - RESIDENTIAL: HOTELS, DORMITORIES",Renewal Without Change,CO Issued
120375977-01,4/5/22 12:18,1081662,Manhattan,337,EAST   17 STREET,923,22,59,"R-1 - RESIDENTIAL: HOTELS, DORMITORIES",Renewal Without Change,CO Issued
120375977-01,6/29/22 11:56,1081662,Manhattan,337,EAST   17 STREET,923,22,59,"R-1 - RESIDENTIAL: HOTELS, DORMITORIES",Renewal Without Change,CO Issued
120383049-01,3/7/22 13:41,1010329,Manhattan,465,WASHINGTON STREET,595,30,9,R-2 - RESIDENTIAL: APARTMENT HOUSES,Initial,CO Issued
120383049-01,5/31/22 12:29,1010329,Manhattan,465,WASHINGTON STREET,595,7510,9,R-2 - RESIDENTIAL: APARTMENT HOUSES,Renewal Without Change,CO Issued
120395205-01,4/11/22 11:41,1009222,Manhattan,11,5TH AVENUE,566,1,288,R-2 - RESIDENTIAL: APARTMENT HOUSES,Renewal With Change,CO Issued
120395205-01,6/27/22 15:36,1009222,Manhattan,11,5TH AVENUE,566,1,288,R-2 - RESIDENTIAL: APARTMENT HOUSES,Renewal Without Change,CO Issued
120395474-01,2/10/22 9:17,1014430,Manhattan,470,SEVENTH AVENUE,785,41,,B - BUSINESS,Renewal With Change,CO Issued
120395474-01,5/6/22 11:05,1014430,Manhattan,470,SEVENTH AVENUE,785,41,,B - BUSINESS,Renewal Without Change,CO Issued
120400262-01,2/18/22 9:23,1087558,Manhattan,501,BROADWAY,484,7501,9,R-2 - RESIDENTIAL: APARTMENT HOUSES,Renewal Without Change,CO Issued
120403964-01,6/16/22 17:23,1023159,Manhattan,811,SEVENTH AVENUE,1005,1,1780,"R-1 - RESIDENTIAL: HOTELS, DORMITORIES",Renewal With Change,CO Issued
120405891-01,1/28/22 13:39,1034520,Manhattan,666,5 AVENUE,1268,7502,,B - BUSINESS,Renewal Without Change,CO Issued
120405891-01,4/22/22 12:13,1034520,Manhattan,666,5 AVENUE,1268,7502,,B - BUSINESS,Renewal Without Change,CO Issued
120406131-01,2/3/22 14:41,1032434,Manhattan,175,WEST 89TH STREET,1220,5,,E - EDUCATIONAL,Renewal Without Change,CO Issued
120406131-01,4/28/22 16:20,1032434,Manhattan,175,WEST 89TH STREET,1220,5,,E - EDUCATIONAL,Renewal Without Change,CO Issued
120406391-01,4/13/22 11:47,1024811,Manhattan,1648,BROADWAY,1022,35,,B - BUSINESS,Renewal With Change,CO Issued
120409290-01,5/17/22 11:39,1019481,Manhattan,145,EAST 39TH STREET,895,34,366,R-2 - RESIDENTIAL: APARTMENT HOUSES,Initial,CO Issued
120409977-01,3/16/22 13:33,1012207,Manhattan,837,WASHINGTON STREET,645,7501,,B - BUSINESS,Renewal Without Change,CO Issued
120416228-01,2/9/22 13:03,1084511,Manhattan,1330,5TH AVENUE,1595,7501,80,R-2 - RESIDENTIAL: APARTMENT HOUSES,Initial,CO Issued
120426896-01,1/18/22 10:56,1013622,Manhattan,545,8 AVENUE,761,33,0,B - BUSINESS,Renewal Without Change,CO Issued
120426896-01,5/2/22 14:32,1013622,Manhattan,545,8 AVENUE,761,33,0,B - BUSINESS,Renewal With Change,CO Issued
120431096-01,4/14/22 11:13,1015261,Manhattan,1384,BROADWAY,813,50,,B - BUSINESS,Renewal Without Change,CO Issued
120434137-01,2/1/22 14:39,1012318,Manhattan,548,W. 22 STREET,693,59,0,A-3 - ASSEMBLY: OTHER,Renewal Without Change,CO Issued
120434137-01,5/12/22 10:35,1012318,Manhattan,548,W. 22 STREET,693,59,0,A-3 - ASSEMBLY: OTHER,Renewal Without Change,CO Issued
120448284-01,3/14/22 14:30,1090574,Manhattan,424,EAST   34 STREET,962,7501,,I-2 - INSTITUTION: INCAPACITATED,Renewal Without Change,CO Issued
120448284-01,5/17/22 9:57,1090574,Manhattan,424,EAST   34 STREET,962,7501,,I-2 - INSTITUTION: INCAPACITATED,Final,CO Issued
120471934-01,3/18/22 12:10,1012154,Manhattan,91,HORATIO STREET,643,1,272,R-2 - RESIDENTIAL: APARTMENT HOUSES,Renewal With Change,CO Issued
120471934-01,6/15/22 12:40,1012154,Manhattan,91,HORATIO STREET,643,1,272,R-2 - RESIDENTIAL: APARTMENT HOUSES,Renewal Without Change,CO Issued
120479035-01,5/27/22 12:20,1087243,Manhattan,20,WEST STREET,15,7502,283,R-2 - RESIDENTIAL: APARTMENT HOUSES,Renewal Without Change,CO Issued
